date,ConsumerPriceIndexAllItems,FEDRates,GDP,InflationConsumerPrice,MedianConsumerPriceIndex,RealGDP,RealGDPPerCapita,RealPotentialGDP,UnemployemenrRate
1971-01-01,0.0,4.14,1135.156,4.29276668813051,5.01465339985201,5443.619,26328.0,5474.87007906867,5.9
1971-02-01,0.251256281407036,3.72,1135.156,4.29276668813051,5.01465339985201,5443.619,26328.0,5474.87007906867,5.9
1971-03-01,0.250626566416041,3.71,1135.156,4.29276668813051,5.01465339985201,5443.619,26328.0,5474.87007906867,6.0
1971-04-01,0.250000000000001,4.16,1156.271,4.29276668813051,5.01465339985201,5473.059,26394.0,5521.341641373812,5.9
1971-05-01,0.498753117206985,4.63,1156.271,4.29276668813051,5.01465339985201,5473.059,26394.0,5521.341641373812,5.9
1971-06-01,0.7444168734491341,4.91,1156.271,4.29276668813051,5.01465339985201,5473.059,26394.0,5521.341641373812,5.9
1971-07-01,0.2463054187191969,5.31,1177.675,4.29276668813051,5.01465339985201,5518.072,26529.0,5569.31405166131,6.0
1971-08-01,0.2457002457002469,5.57,1177.675,4.29276668813051,5.01465339985201,5518.072,26529.0,5569.31405166131,6.1
1971-09-01,0.0,5.55,1177.675,4.29276668813051,5.01465339985201,5518.072,26529.0,5569.31405166131,6.0
1971-10-01,0.2450980392156869,5.2,1190.297,4.29276668813051,5.01465339985201,5531.032,26510.0,5617.418731483026,5.8
1971-11-01,0.0,4.91,1190.297,4.29276668813051,5.01465339985201,5531.032,26510.0,5617.418731483026,6.0
1971-12-01,0.4889975550122271,4.14,1190.297,4.29276668813051,5.01465339985201,5531.032,26510.0,5617.418731483026,6.0
1972-01-01,0.0,3.51,1230.609,3.27227824655283,5.01465339985201,5632.649,26932.0,5664.390952910088,5.8
1972-02-01,0.486618004866182,3.3,1230.609,3.27227824655283,5.01465339985201,5632.649,26932.0,5664.390952910088,5.7
1972-03-01,0.242130750605328,3.83,1230.609,3.27227824655283,5.01465339985201,5632.649,26932.0,5664.390952910088,5.8
1972-04-01,0.241545893719808,4.17,1266.369,3.27227824655283,5.01465339985201,5760.47,27478.0,5709.165368090846,5.7
1972-05-01,0.240963855421688,4.27,1266.369,3.27227824655283,5.01465339985201,5760.47,27478.0,5709.165368090846,5.7
1972-06-01,0.240384615384616,4.46,1266.369,3.27227824655283,5.01465339985201,5760.47,27478.0,5709.165368090846,5.7
1972-07-01,0.479616306954438,4.55,1290.566,3.27227824655283,5.01465339985201,5814.854,27666.0,5752.679084228243,5.6
1972-08-01,0.238663484486859,4.81,1290.566,3.27227824655283,5.01465339985201,5814.854,27666.0,5752.679084228243,5.6
1972-09-01,0.238095238095239,4.87,1290.566,3.27227824655283,5.01465339985201,5814.854,27666.0,5752.679084228243,5.5
1972-10-01,0.475059382422805,5.05,1328.904,3.27227824655283,5.01465339985201,5912.22,28055.0,5796.132944078367,5.6
1972-11-01,0.2364066193853439,5.06,1328.904,3.27227824655283,5.01465339985201,5912.22,28055.0,5796.132944078367,5.3
1972-12-01,0.2358490566037749,5.33,1328.904,3.27227824655283,5.01465339985201,5912.22,28055.0,5796.132944078367,5.2
1973-01-01,0.23529411764706,5.94,1377.49,6.17776006377038,5.01465339985201,6058.544,28687.0,5841.03291586763,4.9
1973-02-01,0.704225352112679,6.58,1377.49,6.17776006377038,5.01465339985201,6058.544,28687.0,5841.03291586763,5.0
1973-03-01,0.932400932400936,7.09,1377.49,6.17776006377038,5.01465339985201,6058.544,28687.0,5841.03291586763,4.9
1973-04-01,0.6928406466512729,7.12,1413.887,6.17776006377038,5.01465339985201,6124.506,28935.0,5889.392812192868,5.0
1973-05-01,0.6880733944954159,7.84,1413.887,6.17776006377038,5.01465339985201,6124.506,28935.0,5889.392812192868,4.9
1973-06-01,0.6833712984054549,8.49,1413.887,6.17776006377038,5.01465339985201,6124.506,28935.0,5889.392812192868,4.9
1973-07-01,0.2262443438914039,10.4,1433.838,6.17776006377038,5.01465339985201,6092.301,28711.0,5939.380852894292,4.8
1973-08-01,1.80586907449211,10.5,1433.838,6.17776006377038,5.01465339985201,6092.301,28711.0,5939.380852894292,4.8
1973-09-01,0.2217294900221739,10.78,1433.838,6.17776006377038,5.01465339985201,6092.301,28711.0,5939.380852894292,4.8
1973-10-01,0.884955752212393,10.01,1476.289,6.17776006377038,5.01465339985201,6150.131,28913.0,5991.006667040293,4.6
1973-11-01,0.657894736842108,10.03,1476.289,6.17776006377038,5.01465339985201,6150.131,28913.0,5991.006667040293,4.8
1973-12-01,0.653594771241818,9.95,1476.289,6.17776006377038,5.01465339985201,6150.131,28913.0,5991.006667040293,4.9
1974-01-01,0.865800865800869,9.65,1491.209,11.0548048048048,5.01465339985201,6097.258,28606.0,6043.397120672455,5.1
1974-02-01,1.2875536480686598,8.97,1491.209,11.0548048048048,5.01465339985201,6097.258,28606.0,6043.397120672455,5.2
1974-03-01,1.2711864406779698,9.35,1491.209,11.0548048048048,5.01465339985201,6097.258,28606.0,6043.397120672455,5.1
1974-04-01,0.418410041841006,10.51,1530.056,11.0548048048048,5.01465339985201,6111.751,28613.0,6095.982936382176,5.1
1974-05-01,1.24999999999999,11.31,1530.056,11.0548048048048,5.01465339985201,6111.751,28613.0,6095.982936382176,5.1
1974-06-01,0.823045267489716,11.93,1530.056,11.0548048048048,5.01465339985201,6111.751,28613.0,6095.982936382176,5.4
1974-07-01,0.8163265306122479,12.92,1560.026,11.0548048048048,5.01465339985201,6053.978,28270.0,6147.694309144877,5.5
1974-08-01,1.21457489878543,12.01,1560.026,11.0548048048048,5.01465339985201,6053.978,28270.0,6147.694309144877,5.5
1974-09-01,1.19999999999999,11.34,1560.026,11.0548048048048,5.01465339985201,6053.978,28270.0,6147.694309144877,5.9
1974-10-01,0.9881422924901228,10.06,1599.679,11.0548048048048,5.01465339985201,6030.464,28088.0,6198.816224406326,6.0
1974-11-01,0.7827788649706491,9.45,1599.679,11.0548048048048,5.01465339985201,6030.464,28088.0,6198.816224406326,6.6
1974-12-01,0.776699029126217,8.53,1599.679,11.0548048048048,5.01465339985201,6030.464,28088.0,6198.816224406326,7.2
1975-01-01,0.3853564547206179,7.13,1616.116,9.14314686496535,5.01465339985201,5957.035,27690.0,6248.917232720529,8.1
1975-02-01,0.7677543186180329,6.24,1616.116,9.14314686496535,5.01465339985201,5957.035,27690.0,6248.917232720529,8.1
1975-03-01,0.380952380952383,5.54,1616.116,9.14314686496535,5.01465339985201,5957.035,27690.0,6248.917232720529,8.6
1975-04-01,0.379506641366226,5.49,1651.853,9.14314686496535,5.01465339985201,5999.61,27821.0,6298.432711607687,8.8
1975-05-01,0.567107750472592,5.22,1651.853,9.14314686496535,5.01465339985201,5999.61,27821.0,6298.432711607687,9.0
1975-06-01,0.751879699248124,5.55,1651.853,9.14314686496535,5.01465339985201,5999.61,27821.0,6298.432711607687,8.8
1975-07-01,1.11940298507463,6.1,1709.82,9.14314686496535,5.01465339985201,6102.326,28214.0,6347.675316519736,8.6
1975-08-01,0.184501845018451,6.14,1709.82,9.14314686496535,5.01465339985201,6102.326,28214.0,6347.675316519736,8.4
1975-09-01,0.5524861878452939,6.24,1709.82,9.14314686496535,5.01465339985201,6102.326,28214.0,6347.675316519736,8.4
1975-10-01,0.549450549450552,5.82,1761.831,9.14314686496535,5.01465339985201,6184.53,28520.0,6396.919595825258,8.4
1975-11-01,0.7285974499089279,5.22,1761.831,9.14314686496535,5.01465339985201,6184.53,28520.0,6396.919595825258,8.3
1975-12-01,0.361663652802895,5.2,1761.831,9.14314686496535,5.01465339985201,6184.53,28520.0,6396.919595825258,8.2
1976-01-01,0.180180180180181,4.87,1820.487,5.74481263549085,5.01465339985201,6323.649,29099.0,6445.588479604985,7.9
1976-02-01,0.359712230215829,4.77,1820.487,5.74481263549085,5.01465339985201,6323.649,29099.0,6445.588479604985,7.7
1976-03-01,0.179211469534051,4.84,1820.487,5.74481263549085,5.01465339985201,6323.649,29099.0,6445.588479604985,7.6
1976-04-01,0.357781753130592,4.82,1852.332,5.74481263549085,5.01465339985201,6370.025,29250.0,6494.429566085238,7.7
1976-05-01,0.7130124777183391,5.29,1852.332,5.74481263549085,5.01465339985201,6370.025,29250.0,6494.429566085238,7.4
1976-06-01,0.530973451327436,5.48,1852.332,5.74481263549085,5.01465339985201,6370.025,29250.0,6494.429566085238,7.6
1976-07-01,0.5281690140845089,5.31,1886.558,5.74481263549085,5.01465339985201,6404.895,29335.0,6544.371352731758,7.8
1976-08-01,0.525394045534141,5.29,1886.558,5.74481263549085,5.01465339985201,6404.895,29335.0,6544.371352731758,7.8
1976-09-01,0.34843205574913,5.25,1886.558,5.74481263549085,5.01465339985201,6404.895,29335.0,6544.371352731758,7.6
1976-10-01,0.5208333333333359,5.02,1934.273,5.74481263549085,5.01465339985201,6451.177,29469.0,6594.937087377887,7.7
1976-11-01,0.172711571675303,4.95,1934.273,5.74481263549085,5.01465339985201,6451.177,29469.0,6594.937087377887,7.8
1976-12-01,0.344827586206898,4.65,1934.273,5.74481263549085,5.01465339985201,6451.177,29469.0,6594.937087377887,7.8
1977-01-01,0.515463917525775,4.61,1988.648,6.5016839947284,5.01465339985201,6527.703,29749.0,6647.491698930122,7.5
1977-02-01,1.02564102564103,4.68,1988.648,6.5016839947284,5.01465339985201,6527.703,29749.0,6647.491698930122,7.6
1977-03-01,0.676818950930618,4.69,1988.648,6.5016839947284,5.01465339985201,6527.703,29749.0,6647.491698930122,7.4
1977-04-01,0.840336134453785,4.73,2055.909,6.5016839947284,5.01465339985201,6654.466,30254.0,6701.716062884974,7.2
1977-05-01,0.500000000000002,5.35,2055.909,6.5016839947284,5.01465339985201,6654.466,30254.0,6701.716062884974,7.0
1977-06-01,0.6633499170812629,5.39,2055.909,6.5016839947284,5.01465339985201,6654.466,30254.0,6701.716062884974,7.2
1977-07-01,0.4942339373970371,5.42,2118.473,6.5016839947284,5.01465339985201,6774.457,30713.0,6757.0967562431015,6.9
1977-08-01,0.327868852459018,5.9,2118.473,6.5016839947284,5.01465339985201,6774.457,30713.0,6757.0967562431015,7.0
1977-09-01,0.326797385620916,6.14,2118.473,6.5016839947284,5.01465339985201,6774.457,30713.0,6757.0967562431015,6.8
1977-10-01,0.3257328990228029,6.47,2164.27,6.5016839947284,5.01465339985201,6774.592,30626.0,6814.1531570700345,6.8
1977-11-01,0.487012987012989,6.51,2164.27,6.5016839947284,5.01465339985201,6774.592,30626.0,6814.1531570700345,6.8
1977-12-01,0.323101777059775,6.56,2164.27,6.5016839947284,5.01465339985201,6774.592,30626.0,6814.1531570700345,6.4
1978-01-01,0.6441223832528,6.7,2202.76,7.63096383885606,5.01465339985201,6796.26,30653.0,6872.575345279892,6.4
1978-02-01,0.6400000000000029,6.78,2202.76,7.63096383885606,5.01465339985201,6796.26,30653.0,6872.575345279892,6.3
1978-03-01,0.7949125596184449,6.79,2202.76,7.63096383885606,5.01465339985201,6796.26,30653.0,6872.575345279892,6.3
1978-04-01,0.788643533123032,6.89,2331.633,7.63096383885606,5.01465339985201,7058.92,31757.0,6931.925241334588,6.1
1978-05-01,0.938967136150239,7.36,2331.633,7.63096383885606,5.01465339985201,7058.92,31757.0,6931.925241334588,6.0
1978-06-01,1.08527131782946,7.6,2331.633,7.63096383885606,5.01465339985201,7058.92,31757.0,6931.925241334588,5.9
1978-07-01,0.7668711656441751,7.81,2395.053,7.63096383885606,5.01465339985201,7129.915,31982.0,6992.74508689625,6.2
