realtime_start,realtime_end,date,value
2025-01-25,2025-01-25,1980-01-01,1.43415906127771
2025-01-25,2025-01-25,1980-02-01,1.41388174807199
2025-01-25,2025-01-25,1980-03-01,1.5209125475285101
2025-01-25,2025-01-25,1980-04-01,1.1235955056179798
2025-01-25,2025-01-25,1980-05-01,0.9876543209876422
2025-01-25,2025-01-25,1980-06-01,1.1002444987775102
2025-01-25,2025-01-25,1980-07-01,0
2025-01-25,2025-01-25,1980-08-01,0.725513905683195
2025-01-25,2025-01-25,1980-09-01,0.840336134453769
2025-01-25,2025-01-25,1980-10-01,0.952380952380956
2025-01-25,2025-01-25,1980-11-01,0.825471698113211
2025-01-25,2025-01-25,1980-12-01,0.935672514619887
2025-01-25,2025-01-25,1981-01-01,0.8111239860950211
2025-01-25,2025-01-25,1981-02-01,1.03448275862069
2025-01-25,2025-01-25,1981-03-01,0.6825938566552779
2025-01-25,2025-01-25,1981-04-01,0.677966101694918
2025-01-25,2025-01-25,1981-05-01,0.7856341189674559
2025-01-25,2025-01-25,1981-06-01,0.8908685968819641
2025-01-25,2025-01-25,1981-07-01,1.1037527593818999
2025-01-25,2025-01-25,1981-08-01,0.76419213973798
2025-01-25,2025-01-25,1981-09-01,0.9750812567714019
2025-01-25,2025-01-25,1981-10-01,0.214592274678112
2025-01-25,2025-01-25,1981-11-01,0.32119914346895195
2025-01-25,2025-01-25,1981-12-01,0.320170757737447
2025-01-25,2025-01-25,1982-01-01,0.319148936170214
2025-01-25,2025-01-25,1982-02-01,0.318133616118771
2025-01-25,2025-01-25,1982-03-01,-0.10570824524312901
2025-01-25,2025-01-25,1982-04-01,0.423280423280425
2025-01-25,2025-01-25,1982-05-01,0.948366701791363
2025-01-25,2025-01-25,1982-06-01,1.25260960334028
2025-01-25,2025-01-25,1982-07-01,0.515463917525775
2025-01-25,2025-01-25,1982-08-01,0.205128205128206
2025-01-25,2025-01-25,1982-09-01,0.20470829068577398
2025-01-25,2025-01-25,1982-10-01,0.306435137895813
2025-01-25,2025-01-25,1982-11-01,-0.203665987780042
2025-01-25,2025-01-25,1982-12-01,-0.40816326530612396
2025-01-25,2025-01-25,1983-01-01,0.20491803278688603
2025-01-25,2025-01-25,1983-02-01,0.10224948875255699
2025-01-25,2025-01-25,1983-03-01,0
2025-01-25,2025-01-25,1983-04-01,0.715015321756898
2025-01-25,2025-01-25,1983-05-01,0.608519269776879
2025-01-25,2025-01-25,1983-06-01,0.30241935483871096
2025-01-25,2025-01-25,1983-07-01,0.402010050251258
2025-01-25,2025-01-25,1983-08-01,0.30030030030030197
2025-01-25,2025-01-25,1983-09-01,0.49900199600797296
2025-01-25,2025-01-25,1983-10-01,0.297914597815294
2025-01-25,2025-01-25,1983-11-01,0.19801980198019895
2025-01-25,2025-01-25,1983-12-01,0.0988142292490123
2025-01-25,2025-01-25,1984-01-01,0.592300098716673
2025-01-25,2025-01-25,1984-02-01,0.49067713444555
2025-01-25,2025-01-25,1984-03-01,0.195312500000001
2025-01-25,2025-01-25,1984-04-01,0.487329434697845
2025-01-25,2025-01-25,1984-05-01,0.29097963142581396
2025-01-25,2025-01-25,1984-06-01,0.290135396518364
2025-01-25,2025-01-25,1984-07-01,0.38572806171649204
2025-01-25,2025-01-25,1984-08-01,0.384245917387129
2025-01-25,2025-01-25,1984-09-01,0.47846889952153293
2025-01-25,2025-01-25,1984-10-01,0.285714285714287
2025-01-25,2025-01-25,1984-11-01,0
2025-01-25,2025-01-25,1984-12-01,0
2025-01-25,2025-01-25,1985-01-01,0.189933523266857
2025-01-25,2025-01-25,1985-02-01,0.47393364928910203
2025-01-25,2025-01-25,1985-03-01,0.377358490566039
2025-01-25,2025-01-25,1985-04-01,0.469924812030065
2025-01-25,2025-01-25,1985-05-01,0.37418147801684
2025-01-25,2025-01-25,1985-06-01,0.279589934762362
2025-01-25,2025-01-25,1985-07-01,0.18587360594795604
2025-01-25,2025-01-25,1985-08-01,0.18552875695732898
2025-01-25,2025-01-25,1985-09-01,0.27777777777776697
2025-01-25,2025-01-25,1985-10-01,0.36934441366574494
2025-01-25,2025-01-25,1985-11-01,0.275988960441584
2025-01-25,2025-01-25,1985-12-01,0.27522935779816604
2025-01-25,2025-01-25,1986-01-01,0.274473924977128
2025-01-25,2025-01-25,1986-02-01,-0.273722627737227
2025-01-25,2025-01-25,1986-03-01,-0.45745654162853494
2025-01-25,2025-01-25,1986-04-01,-0.183823529411765
2025-01-25,2025-01-25,1986-05-01,0.27624309392264096
2025-01-25,2025-01-25,1986-06-01,0.550964187327826
2025-01-25,2025-01-25,1986-07-01,0
2025-01-25,2025-01-25,1986-08-01,0.18264840182647302
2025-01-25,2025-01-25,1986-09-01,0.4557885141294579
2025-01-25,2025-01-25,1986-10-01,0.0907441016333822
2025-01-25,2025-01-25,1986-11-01,0.090661831369006
2025-01-25,2025-01-25,1986-12-01,0.090579710144916
2025-01-25,2025-01-25,1987-01-01,0.633484162895942
2025-01-25,2025-01-25,1987-02-01,0.359712230215829
2025-01-25,2025-01-25,1987-03-01,0.44802867383511497
2025-01-25,2025-01-25,1987-04-01,0.535236396074935
2025-01-25,2025-01-25,1987-05-01,0.35492457852706394
2025-01-25,2025-01-25,1987-06-01,0.353669319186562
2025-01-25,2025-01-25,1987-07-01,0.26431718061673
2025-01-25,2025-01-25,1987-08-01,0.5272407732864579
2025-01-25,2025-01-25,1987-09-01,0.524475524475527
2025-01-25,2025-01-25,1987-10-01,0.260869565217404
2025-01-25,2025-01-25,1987-11-01,0.0867302688638224
2025-01-25,2025-01-25,1987-12-01,0
2025-01-25,2025-01-25,1988-01-01,0.259965337954952
2025-01-25,2025-01-25,1988-02-01,0.259291270527215
2025-01-25,2025-01-25,1988-03-01,0.43103448275863393
2025-01-25,2025-01-25,1988-04-01,0.5150214592274699
2025-01-25,2025-01-25,1988-05-01,0.34158838599487795
2025-01-25,2025-01-25,1988-06-01,0.4255319148936079
2025-01-25,2025-01-25,1988-07-01,0.423728813559324
2025-01-25,2025-01-25,1988-08-01,0.42194092827003293
2025-01-25,2025-01-25,1988-09-01,0.6722689075630279
2025-01-25,2025-01-25,1988-10-01,0.333889816360602
2025-01-25,2025-01-25,1988-11-01,0.0831946755407767
2025-01-25,2025-01-25,1988-12-01,0.166251039068995
2025-01-25,2025-01-25,1989-01-01,0.49792531120332206
2025-01-25,2025-01-25,1989-02-01,0.41288191577208005
2025-01-25,2025-01-25,1989-03-01,0.5756578947368549
2025-01-25,2025-01-25,1989-04-01,0.6541291905151291
2025-01-25,2025-01-25,1989-05-01,0.56864337936636
2025-01-25,2025-01-25,1989-06-01,0.242326332794821
2025-01-25,2025-01-25,1989-07-01,0.241740531829182
2025-01-25,2025-01-25,1989-08-01,0.16077170418004402
2025-01-25,2025-01-25,1989-09-01,0.321027287319424
2025-01-25,2025-01-25,1989-10-01,0.48000000000000204
2025-01-25,2025-01-25,1989-11-01,0.23885350318470397
2025-01-25,2025-01-25,1989-12-01,0.158856235107229
2025-01-25,2025-01-25,1990-01-01,1.03092783505156
2025-01-25,2025-01-25,1990-02-01,0.470957613814759
2025-01-25,2025-01-25,1990-03-01,0.546874999999992
2025-01-25,2025-01-25,1990-04-01,0.155400155400176
2025-01-25,2025-01-25,1990-05-01,0.23273855702091698
