antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'RealGDP_Medium'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.32978723404255317,0.3404255319148936,0.12529550827423167,0.37992831541218636,1.1160394265232974,1.0,0.013027513706554,1.063706801131472,0.15513626834381558,0.22993492407809105,0.0598913169152503,0.37399193548387094
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'RealGDPPerCapita_High'}),0.3404255319148936,0.3404255319148936,0.12056737588652482,0.35416666666666663,1.0403645833333333,1.0,0.004677833106986565,1.0212765957446808,0.05882352941176464,0.2151898734177215,0.02083333333333329,0.35416666666666663
frozenset({'RealGDPPerCapita_High'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.3404255319148936,0.3404255319148936,0.12056737588652482,0.35416666666666663,1.0403645833333333,1.0,0.004677833106986565,1.0212765957446808,0.05882352941176464,0.2151898734177215,0.02083333333333329,0.35416666666666663
frozenset({'RealGDPPerCapita_Medium'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.32978723404255317,0.3404255319148936,0.12411347517730496,0.3763440860215054,1.105510752688172,1.0,0.011845480609627299,1.057593543653705,0.14240362811791402,0.22727272727272727,0.05445716267776623,0.3704637096774194
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'RealGDPPerCapita_Medium'}),0.3404255319148936,0.32978723404255317,0.12411347517730496,0.3645833333333333,1.105510752688172,1.0,0.011845480609627299,1.0547610742936866,0.14470046082949328,0.22727272727272727,0.051917989417989426,0.3704637096774194
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'RealPotentialGDP_High'}),0.3404255319148936,0.3404255319148936,0.12174940898345153,0.3576388888888889,1.0505642361111112,1.0,0.00585986620391328,1.026797009775733,0.07297212652677729,0.21775898520084566,0.02609767025089608,0.3576388888888889
frozenset({'RealPotentialGDP_High'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.3404255319148936,0.3404255319148936,0.12174940898345153,0.3576388888888889,1.0505642361111112,1.0,0.00585986620391328,1.026797009775733,0.07297212652677729,0.21775898520084566,0.02609767025089608,0.3576388888888889
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'RealPotentialGDP_Medium'}),0.3404255319148936,0.32978723404255317,0.12293144208037825,0.3611111111111111,1.0949820788530467,1.0,0.010663447512700583,1.0490286771507864,0.1315136476426801,0.22462203023758096,0.046737213403880096,0.36693548387096775
frozenset({'RealPotentialGDP_Medium'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.32978723404255317,0.3404255319148936,0.12293144208037825,0.3727598566308244,1.0949820788530467,1.0,0.010663447512700583,1.0515501519756838,0.1294261294261296,0.22462203023758096,0.04902300844028216,0.36693548387096775
frozenset({'UnemployemenrRate_Medium'}),frozenset({'ConsumerPriceIndexAllItems_High'}),0.31678486997635935,0.3404255319148936,0.11347517730496454,0.3582089552238806,1.0522388059701493,1.0,0.0056335194406719885,1.027709054923305,0.07266435986159157,0.208695652173913,0.02696196437168992,0.34577114427860695
frozenset({'ConsumerPriceIndexAllItems_High'}),frozenset({'UnemployemenrRate_Medium'}),0.3404255319148936,0.31678486997635935,0.11347517730496454,0.3333333333333333,1.052238805970149,1.0,0.0056335194406719885,1.0248226950354609,0.07526881720430094,0.208695652173913,0.024221453287197187,0.34577114427860695
frozenset({'ConsumerPriceIndexAllItems_Low'}),frozenset({'GDP_High'}),0.32978723404255317,0.3404255319148936,0.13829787234042554,0.4193548387096775,1.2318548387096777,1.0,0.026029877772747873,1.1359338061465722,0.28083028083028105,0.26,0.11966701352757557,0.41280241935483875
