PC1,PC2,PC3,FEDRates,Cluster
-2.476196386798709,3.262626649460732,0.3189365540890732,12.01,1
-2.475635411641977,3.22251662982788,0.5386097409388404,11.34,1
-2.416527616133658,2.826528478635504,0.5589429141117381,10.06,1
-2.362648250823858,2.4267565981140184,0.8581953692162765,9.45,1
-2.366368457995799,2.3958003849556597,1.1903075135173244,8.53,1
-2.1685820091180483,1.180664964250998,1.4983552201934909,7.13,1
-2.2791076840784754,1.888371615792757,1.5614084542879851,6.24,3
-2.1718736535626464,1.1560941325274623,1.7752245722252606,5.54,3
-2.1600038867559803,1.150849924522484,1.8853592662112455,5.49,3
-2.216052661194504,1.49147666055438,2.0273308558312904,5.22,3
-2.2676320600412687,1.84000359089511,1.9467595192090208,5.55,3
-2.344683983428536,2.5351997065943515,1.8949696057888656,6.1,3
-2.0726406961628325,0.8115390874484435,1.6297763974336754,6.14,3
-2.179000385129916,1.4925705253009405,1.690452999219281,6.24,3
-2.15541279628252,1.4939355444063798,1.6888130955543457,5.82,3
-2.2062792830509235,1.8287681190594411,1.6628333570045049,5.22,3
-2.099310323078028,1.152964969950793,1.54681087159651,5.2,3
-1.819541334597632,0.0258873124652612,1.1221039810841862,4.87,3
-1.869606228789357,0.3647167221299446,1.0406686423503193,4.77,3
-1.816522604303692,0.0339466194924123,0.9553869298347156,4.84,3
-1.8551333890131767,0.3653521038474847,1.0397059686436785,4.82,3
-1.9550681182351848,1.0326324301062162,0.9317223165435132,5.29,3
-1.9042786246669088,0.6891633401258814,1.012744282238665,5.48,3
-1.8940963032928269,0.6807390520783136,1.1227319013705954,5.31,3
-1.8932942452768708,0.6756033965573891,1.122274339343894,5.29,3
-1.84032052944875,0.3546665600284078,0.982057024379809,5.25,3
-1.876626345738582,0.674796812289016,1.0651695729205124,5.02,3
-1.7769205155829284,0.0272411695844451,1.0632872011261256,4.95,3
-1.826667756542168,0.345777594132949,1.0916672533708305,4.65,3
-1.8934048694438936,0.8590284880390365,1.002588371387473,4.61,3
-2.041775900734605,1.7999331284501758,1.1422301153589978,4.68,3
-1.939128916098078,1.1609335182523894,0.9736749481489396,4.69,3
-1.9509485692611048,1.4805425650681887,0.887968724579343,4.73,3
-1.8507543030183964,0.8572479494093194,0.7208127962982356,5.35,3
-1.8997936780323228,1.152992818871512,0.8587856290417527,5.39,3
-1.8166948445999007,0.8595939293039054,0.6628256609245387,5.42,3
-1.7695227267623497,0.5484167583979807,0.6909129813472059,5.9,1
-1.7673872101064525,0.5530018580116128,0.5796980938688292,6.14,1
-1.762692510859529,0.552163960958084,0.579041278532458,6.47,1
-1.809307809389477,0.85064625337621,0.6056346047586576,6.51,1
-1.7582803749292235,0.5604306663889427,0.3565310066555142,6.56,1
-1.904473489739965,1.4271511158614374,0.4842219992941009,6.7,1
-1.9023690705643823,1.422805825387916,0.4280231561436362,6.78,1
-1.9471439420481544,1.7095036843454694,0.4535665464394023,6.79,1
-1.8767725922004108,1.7253392700850745,0.3381719222280042,6.89,1
-1.9193081893276012,2.006828347723004,0.3074395365221888,7.36,1
-1.9606820402752796,2.2808786515290747,0.276044392105862,7.6,1
-1.8505068932021924,1.6881049423364354,0.3889199465188116,7.81,1
-1.7580955582704592,1.1237747034643186,0.1712057597299167,8.04,1
-1.8459943845671736,1.6774699310130563,0.2763490208913446,8.45,1
-1.85855421231784,1.9602031539507876,0.1875859008188772,8.96,1
-1.7279102729106133,1.1145477872562632,0.168053803331534,9.76,1
-1.7282480011555634,1.107580783791973,0.2232447758957141,10.03,1
-2.0478600775811424,2.7956788091890163,0.4814743421542607,10.07,1
-2.1302461417939487,3.323204794971283,0.528474351833406,10.06,1
-2.083585496138372,3.0335616507747907,0.4468568520711065,10.09,1
-2.1144107915845507,3.2820404968438703,0.4680397948349464,10.01,1
-2.1497707407063635,3.5267127123520026,0.3782155062559707,10.24,1
-2.105621525175962,3.234891479064161,0.4080273469485732,10.29,1
-2.084412700190144,3.217281626100485,0.4047623408930626,10.47,1
-2.04411198467297,2.931843692318919,0.5467663002880842,10.94,1
